标题,编号,商家,单价不含税,品名,单位,品牌,规格,发货仓,等级,起售量,联系电话,运费,库存量,图片1,图片2,图片3,页面网址,产品详情
国林木业/GINO/樱桃/4/4/特级,20161230103,上海国林木业,7400,樱桃木,立方,GINO,4月4日,嘉定科贸路800号,特级,3,13524319035,视收货地址另算,50,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg5fmXwwUo2LfH8AIwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg6vmXwwUokNuZ7gcwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-339.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樱桃产地：美国等级：特级规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：上海国林木业交收条件：按方出售联系人：蒲先生　13524319035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
国林木业/S/红橡/4/4/特级,20161230102,上海国林木业,6500,红橡,立方,sunwood,4月4日,嘉定科贸路800号,特级,4,13524319035,视收货地址另算,40,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgjfaXwwUoquz7WTCACjjABw!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgk-aXwwUo1JXkCDDABziACg!60x60.jpg,,http://market.anywood.com/h-pd-338.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：红橡产地：美国等级：特级规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：上海国林木业交收条件：按方出售联系人：蒲先生　13524319035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 赤松 #2 ?36mm*88mm-3.0m,20170301103,汇洪国际贸易有限公司,1800,赤松,立方,Klausner,36*88mm-3.0m,太仓金马库,#2,4,18651905588,不含,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgkvPZxQUoxZXKlgYwyAQ4gAM!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAglPPZxQUowvDM5gQw8QM4qQI!60x60.jpg,,http://market.anywood.com/h-pd-344.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,产品名称：赤松　Klausner产品规格：36mm*88mm-3.0m产品数量：200方提货仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号商家名称：汇洪国际贸易有限公司联系人：戴进坤 18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 赤松 #2 ?37mm*88mm-3.0/3.6/3.985m,20170301105,汇洪国际贸易有限公司,1800,赤松,立方,Klausner,37mm*88mm-3.0/3.6/3.985m,太仓金马库,#2,4,18651905588,不含,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg5IXaxQUoxpei9AUw7gM4oAI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg5oXaxQUo_IjtgwUwpgQ49wI!60x60.jpg,,http://market.anywood.com/h-pd-345.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,产品名称：赤松　Klausner产品规格：37mm*88mm，其中3.0m长1800元；3.6m长1830元；3.985m长1780元产品数量：200方提货仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号商家名称：汇洪国际贸易有限公司联系人：戴进坤 18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 欧洲赤松 37*88mm-3.6m,20171008002,汇洪国际贸易有限公司,1720,赤松,立方,Klausner,37*88mm-3.6m,太仓金马库,,4,18651905588,,800,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg89bivwUo0ITT9wIwngQ4gwM!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgitfivwUo8Nr1bzCqBDiEAw!60x60.jpg,,http://market.anywood.com/h-pd-207.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,产品名称：赤松　Klausner产品规格：37mm*88mm-3.6m产品数量：800方提货仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号商家名称：汇洪国际贸易有限公司联系人：戴进坤 18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 欧洲赤松 37mm*88mm-3.985m,20171008003,汇洪国际贸易有限公司,1670,欧洲赤松,立方,Klausner,37mm*88mm-3.985m,太仓金马库,,4,18651905588,,800,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg35SRwAUokNfomQYwtQM4_QI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg8NjivwUohuyZmQMwiAQ4_QI!60x60.jpg,,http://market.anywood.com/h-pd-208.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,产品名称：赤松　Klausner产品规格：37mm*88mm-3.985m产品数量：800方提货仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包540-630片，每包尺寸：60*60*3985，每包2.635-3.074立方米交手条件：按包出售，按方计价，1包起售商家名称：汇洪国际贸易有限公司联系人：戴进坤 18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 欧洲赤松 37mm*88mm-3m,20161008001,汇洪国际贸易有限公司,1720,赤松,立方,Klausner,37mm*88mm-3m,太仓金马库,,4,18651905588,,800,http://4107619.s21i.faiusr.com/2/ABUIABACGAAghs7ivwUo_P6BuQIwiAQ4_QI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgjs7ivwUot_v5vwEw6AM4pAI!60x60.jpg,,http://market.anywood.com/h-pd-206.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,产品名称：赤松　Klausner产品规格：37mm*88mm-3m产品数量：800方提货仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号联系人：戴进坤 18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 铁杉 40mm*190mm*2.44m UTB,20171009002,汇洪国际贸易有限公司,1460,HL,立方,Klausner,40mm*190mm*2.44m,太仓金马库,UTB,5,18651905588,,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg05vovwUoopGIODDjAzjhAg!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg25vovwUoqL29rwYw9QM48QI!60x60.jpg,,http://market.anywood.com/h-pd-213.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ?品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*2.44m处理工艺：烘干、四面刨 ?到港时间：2016年9月 ?存储仓库：太仓金马库补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 铁杉 40mm*190mm*3.66m UTB,20171009003,汇洪国际贸易有限公司,1460,HL,立方,Klausner,40mm*190mm*3.66m,太仓金马库,UTB,5,18651905588,,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgx53ovwUoz57ewAIw4wM44QI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgyZ3ovwUo7JObqQYw9QM48QI!60x60.jpg,,http://market.anywood.com/h-pd-214.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ?品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*3.66m处理工艺：烘干、四面刨 ?到港时间：2016年9月 ?存储仓库：太仓金马库补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：　戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 铁杉 40mm*190mm*4.88m UTB,20171009004,汇洪国际贸易有限公司,1460,HL,立方,Klausner,40mm*190mm*4.88m,太仓金马库,UTB,5,18651905588,,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgrJ7ovwUoxNr0hAcw0gM4jwI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgsZ7ovwUo7reAvQMw-gM45wI!60x60.jpg,,http://market.anywood.com/h-pd-215.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ?品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*4.88m处理工艺：烘干、四面刨 ?到港时间：2016年9月 ?存储仓库：太仓金马库补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：　戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 铁杉 40mm*190mm*6.1m UTB,20171009001,汇洪国际贸易有限公司,1560,HL,立方,Klausner,40mm*190mm*6.1m,太仓金马库,UTB,4,18651905588,,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg9pjovwUo0MCggwEw9QM48QI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgk5novwUorOX6uQQw-gM45wI!60x60.jpg,,http://market.anywood.com/h-pd-212.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ?品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*6.1m处理工艺：烘干、四面刨 ?到港时间：2016年9月 ?存储仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。交手条件：按包出售，按方计价，1包起售商家名称：太仓汇洪国际贸易有限公司　联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 云杉 #2 35*85mm-3.0m,20170301101,汇洪国际贸易有限公司,1800,云杉,立方,Klausner,35*85mm-3.0m,太仓金马库,#2,4,18651905588,不含,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg-9rZxQUowIf9qgQw9QQ4jAM!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg-drZxQUokJiJ9AMw9wQ41wI!60x60.jpg,,http://market.anywood.com/h-pd-342.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,产品名称：云杉　Klausner产品规格：35mm*85mm-3.0m产品数量：200方提货仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号商家名称：汇洪国际贸易有限公司联系人：戴进坤 18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 Klausner 云杉 #2 36*88mm-3.66m,20170301102,汇洪国际贸易有限公司,1820,云杉,立方,Klausner,36*88mm-3.66m,太仓金马库,#2,4,18651905588,不含,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAggufZxQUo4JjruAYw9wQ41wI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAghufZxQUov5TcWDD1BDiMAw!60x60.jpg,,http://market.anywood.com/h-pd-343.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,产品名称：云杉　Klausner产品规格：36mm*88mm-3.66m产品数量：200方提货仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号商家名称：汇洪国际贸易有限公司联系人：戴进坤 18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*90mm*3.05m UTB,20171009005,汇洪国际贸易有限公司,1560,HL,立方,WFP,40mm*90mm*3.05m,太仓金马库,UTB,4,18651905588,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg_aDovwUo7--IQzDzAzjpAg!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg-KDovwUowJfsgAcw8QM41AI!60x60.jpg,,http://market.anywood.com/h-pd-216.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ? 品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*90mm*2.44m处理工艺：烘干、四面刨 ? 到港时间：2016年9月 ? 存储仓库：太仓金马库补充描述（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货176/208片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2/3.5立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*90mm*3.66m UTB,20171009011,汇洪国际贸易有限公司,1530,HL,立方,WFP,40mm*90mm*3.66m,太仓金马库,UTB,4,18651905588,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgzabovwUotJbePDD7Azi7Ag!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgy6bovwUos9y-_gIw0gM4jwI!60x60.jpg,,http://market.anywood.com/h-pd-221.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ? 品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*90mm*3.66m处理工艺：烘干、四面刨 ? 到港时间：2016年9月 ? 存储仓库：太仓金马库补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货176/208片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2/3.5立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*90mm*4.0m UTB,20171009006,汇洪国际贸易有限公司,1560,HL,立方,WFP,40mm*90mm*4.0m,太仓金马库,UTB,5,18651905588,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgqKLovwUo6KSd3gYw_wM4uwI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgq6LovwUoqoKSpgUw8wM46QI!60x60.jpg,,http://market.anywood.com/h-pd-217.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ? 品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*90mm*4.0m处理工艺：烘干、四面刨 ? 到港时间：2016年9月 ? 存储仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货176/208片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2/3.5立方。交手条件：按包出售，按方计价，1包起售商家名称：太仓汇洪国际贸易有限公司　联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电仪或面议。
汇洪国际 WFP 铁杉 40mm*90mm*4.88m UTB,20171009013,汇洪国际贸易有限公司,1530,HL,立方,WFP,40mm*90mm*4.88m,太仓金马库,UTB,4,18651905588,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1KnovwUo9I6XSjD4AzjBAg!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgjKrovwUoqreUrAEw0gM4jwI!60x60.jpg,,http://market.anywood.com/h-pd-222.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ? 品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*90mm*4.88m处理工艺：烘干、四面刨 ? 到港时间：2016年9月 ? 存储仓库：太仓金马库补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货176/208片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2/3.5立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*90mm*5.49m UTB,20171009007,汇洪国际贸易有限公司,1560,HL,立方,WFP,40mm*90mm*5.49m,太仓金马库,UTB,4,18651905588,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgl6PovwUokLfH5AMw0gM4jwI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgmqPovwUo7ZurhAMw_wM4uwI!60x60.jpg,,http://market.anywood.com/h-pd-218.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ? 品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*90mm*5.49m处理工艺：烘干、四面刨 ? 到港时间：2016年9月 ? 存储仓库：太仓金马库补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货176/208片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2/3.5立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*90mm*6.1m UTB,20171009008,汇洪国际贸易有限公司,1560,HL,立方,WFP,40mm*90mm*6.1m,太仓金马库,UTB,4,18651905588,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgyKTovwUo7KjQlQUw8wM46QI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg2KTovwUozKWAvwQw8QM41AI!60x60.jpg,,http://market.anywood.com/h-pd-219.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ?品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*4m处理工艺：烘干、四面刨 ?到港时间：2016年9月 ?存储仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。交手条件：按包出售，按方计价，1包起售商家名称：太仓汇洪国际贸易有限公司　联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*190mm*3.05m UTB,20171008004,汇洪国际贸易有限公司,1560,HL,立方,WFP,40mm*190mm*3.05m,太仓金马库,UTB,5,18651905588,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg-ODivwUol4fZrgIw4wM44QI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg-_DivwUo3InsdTD1AzjxAg!60x60.jpg,,http://market.anywood.com/h-pd-209.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ? 品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*3.05m处理工艺：烘干、四面刨 ? 到港时间：2016年9月 ? 存储仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。交手条件：按包出售，按方计价，1包起售商家名称：太仓汇洪国际贸易有限公司　联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*190mm*4m UTB,20171008005,汇洪国际贸易有限公司,1560,HL,立方,WFP,40mm*190mm*4m,太仓金马库,UTB,5,18651905588,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg9uvivwUoptLs2AIw0gM4jwI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg_uvivwUoxYSlnAcw9QM48QI!60x60.jpg,,http://market.anywood.com/h-pd-210.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ?品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*4m处理工艺：烘干、四面刨 ?到港时间：2016年9月 ?存储仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。交手条件：按包出售，按方计价，1包起售商家名称：太仓汇洪国际贸易有限公司　联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WFP 铁杉 40mm*190mm*5.49m UTB,20171008006,汇洪国际贸易有限公司,1560,HL,立方,WFP,40mm*190mm*5.49m,汇洪金马库,UTB,5,18651905588,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgtO3ivwUoxK7vmQQw4wM44QI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgxO3ivwUop4vwtgcw9QM48QI!60x60.jpg,,http://market.anywood.com/h-pd-211.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ?品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*190mm*5.49m处理工艺：烘干、四面刨 ?到港时间：2016年9月 ?存储仓库：太仓金马库仓库地址：江苏省太仓市浏家港新港路88号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货80/96片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2.8/4.4立方。交手条件：按包出售，按方计价，1包起售商家名称：太仓汇洪国际贸易有限公司联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际 WSF 铁杉 40mm*90mm*2.44m UTB,20171009009,汇洪国际贸易有限公司,1530,HL,立方,WSF,40mm*90mm*2.44m,太仓金马库,UTB,4,18651905588,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1qXovwUouOm-wQcw8QM41AI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg3KXovwUoxpSzvwQw_AM4wQI!60x60.jpg,,http://market.anywood.com/h-pd-220.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉 ? 品牌：WFP ?产地：加拿大 ?等级：UTB级 ?规格：40mm*90mm*2.44m处理工艺：烘干、四面刨 ? 到港时间：2016年9月 ? 存储仓库：太仓金马库补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包货176/208片，每包尺寸：90*90*244/305/366/400/427/488/549/610 ，每包2/3.5立方。商家名称：太仓汇洪国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际/ILIM/赤松/SW2,20170303104,汇洪国际贸易有限公司,1750,赤松,立方,ILIM,统货,太仓金马库,SW2,5,18651905588,,240,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgjIvkxQUorI-D5AQwwB840Bc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgnYvkxQUovPecmgcw0Bc4wB8!60x60.jpg,,http://market.anywood.com/h-pd-349.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,"品名：赤松等级：SW2规格：统货处理工艺：烘干、四面刨补充描述：（1）尺寸主要有25mm*100mm*3000mm,29mm*140mm,29mm*160mm.存储仓库：太仓金马库仓库地址：太仓刘家港镇新港公路88号商家名称：太仓汇洪国际贸易有限公司交收条件：按方出售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。"
汇洪国际/ILIM/云杉/SW2,20170303105,汇洪国际贸易有限公司,1800,云杉,立方,TOLKO,统货,太仓金马库,SW2,5,18651905588,,250,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg2ZDkxQUoyPnZ5QIwgAo41gY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg35DkxQUo6aTG5QcwgAo41gY!60x60.jpg,,http://market.anywood.com/h-pd-350.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,"品名：云杉等级：SW2规格：统货处理工艺：烘干、四面刨补充描述：（1）尺寸主要有25mm*100mm*3000mm,25mm*150mm,29mm*140mm,29mm*160mm.存储仓库：太仓金马库仓库地址：太仓刘家港镇新港公路88号商家名称：太仓汇洪国际贸易有限公司交收条件：按方出售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。"
